Time,Open,High,Low,Close,Volume
"May 22, 2017",66.39,66.58,65.64,66.49,"1,309,000"
"May 19, 2017",65.98,67.63,65.58,65.93,"1,505,700"
"May 18, 2017",65.93,65.93,64.42,65.31,"1,735,800"
"May 17, 2017",67.83,68.13,66.09,66.18,"1,113,900"
"May 16, 2017",68.74,69.10,68.33,68.83,"1,753,700"
"May 15, 2017",67.91,69.23,67.54,68.30,"1,598,300"
"May 12, 2017",67.14,67.75,66.77,67.38,"659,800"
"May 11, 2017",67.37,67.74,66.92,67.23,"655,000"
"May 10, 2017",66.79,67.77,66.76,67.60,"1,009,300"
"May 09, 2017",66.66,66.79,66.00,66.77,"786,700"
"May 08, 2017",66.68,67.39,66.05,66.35,"742,300"
"May 05, 2017",66.20,67.08,65.89,66.94,"917,300"
"May 04, 2017",65.10,66.28,64.81,65.97,"884,000"
"May 03, 2017",65.24,65.26,64.37,64.93,"902,500"
"May 02, 2017",65.32,65.50,64.61,65.42,"1,351,100"
"May 01, 2017",64.49,65.38,64.19,65.21,"1,019,700"
"Apr 28, 2017",64.60,64.60,63.30,64.31,"963,200"
"Apr 27, 2017",64.40,65.16,64.11,64.60,"920,000"
"Apr 26, 2017",63.86,63.98,63.30,63.72,"842,500"
"Apr 25, 2017",63.65,64.71,63.06,63.85,"1,072,200"
"Apr 24, 2017",63.00,63.52,62.48,63.48,"858,800"
"Apr 21, 2017",62.33,62.95,62.11,62.44,"793,800"
"Apr 20, 2017",61.81,62.30,61.24,62.03,"679,500"
"Apr 19, 2017",61.18,61.93,61.07,61.63,"800,000"
"Apr 18, 2017",60.06,61.36,59.81,61.10,"919,600"
"Apr 17, 2017",59.66,60.21,59.24,60.14,"1,266,100"
"Apr 13, 2017",60.68,61.10,59.46,59.49,"1,795,400"
"Apr 12, 2017",60.88,61.58,60.33,60.72,"858,600"
"Apr 11, 2017",61.00,61.47,60.10,61.07,"657,400"
"Apr 10, 2017",61.23,61.50,60.86,61.12,"669,000"
"Apr 07, 2017",61.01,61.53,60.44,60.95,"864,700"
"Apr 06, 2017",61.18,61.37,60.38,60.93,"1,013,800"
"Apr 05, 2017",61.21,62.48,60.95,61.08,"971,200"
"Apr 04, 2017",61.14,62.04,60.91,61.08,"665,500"
"Apr 03, 2017",62.40,62.80,60.83,61.15,"1,123,500"
"Mar 31, 2017",62.27,63.10,62.12,62.29,"785,200"
"Mar 30, 2017",62.65,63.52,62.53,62.64,"982,100"
"Mar 29, 2017",61.20,62.94,61.08,62.74,"1,455,500"
"Mar 28, 2017",61.00,61.68,60.63,61.26,"818,800"
"Mar 27, 2017",60.21,61.29,59.78,60.94,"814,200"
"Mar 24, 2017",60.98,61.62,60.48,60.90,"870,800"
"Mar 23, 2017",60.54,61.53,60.50,60.77,"1,149,700"
"Mar 22, 2017",60.00,60.58,59.67,60.48,"745,500"
"Mar 21, 2017",62.41,62.58,60.00,60.08,"1,154,200"
"Mar 20, 2017",62.49,62.74,61.89,62.08,"608,200"
"Mar 17, 2017",62.15,62.85,61.97,62.37,"1,316,400"
"Mar 16, 2017",62.00,62.34,61.58,62.25,"1,032,300"
"Mar 15, 2017",60.93,61.79,60.58,61.65,"1,134,900"
"Mar 14, 2017",60.83,61.33,60.20,60.99,"1,072,500"
"Mar 13, 2017",60.54,61.75,60.48,61.58,"1,420,600"
"Mar 10, 2017",60.69,60.97,60.04,60.74,"1,000,700"
"Mar 09, 2017",60.82,61.00,59.35,60.19,"812,700"
"Mar 08, 2017",60.80,61.29,60.39,60.67,"1,167,700"
"Mar 07, 2017",61.78,62.16,60.57,60.70,"2,436,200"
"Mar 06, 2017",61.99,62.48,61.34,61.78,"924,500"
"Mar 03, 2017",62.36,63.00,61.85,62.67,"918,400"
"Mar 02, 2017",63.83,63.95,62.54,62.70,"1,893,100"
